Feature,Bin,WOE,Coefficient,Points
Base,Base,0.0,-2.568206508039569,561.23
age,"(-inf, 23.0]",-0.02,0.925112,0.53
age,"(23.0, 26.0]",-0.45,0.925112,12.01
age,"(26.0, 28.0]",-0.0626,0.925112,1.67
age,"(28.0, 31.0]",-0.0296,0.925112,0.79
age,"(31.0, 34.0]",-0.0023,0.925112,0.06
age,"(34.0, 36.0]",0.247,0.925112,-6.59
age,"(36.0, 39.0]",0.3384,0.925112,-9.03
age,"(39.0, 42.0]",0.4785,0.925112,-12.77
age,"(42.0, 44.0]",-0.2225,0.925112,5.94
age,"(44.0, 47.0]",0.031,0.925112,-0.83
age,"(47.0, 49.0]",0.0115,0.925112,-0.31
age,"(49.0, 52.0]",-0.7069,0.925112,18.87
age,"(52.0, 55.0]",-1.4125,0.925112,37.7
age,"(55.0, 58.0]",0.1998,0.925112,-5.33
age,"(58.0, 61.0]",-0.1821,0.925112,4.86
age,"(61.0, 64.0]",0.1341,0.925112,-3.58
age,"(64.0, 67.0]",0.0115,0.925112,-0.31
age,"(67.0, 69.0]",0.2541,0.925112,-6.78
age,"(69.0, 72.0]",0.0115,0.925112,-0.31
age,"(72.0, inf]",0.3494,0.925112,-9.33
MonthlyIncome,"(-inf, 1909.6]",-0.175,0.946333,4.78
MonthlyIncome,"(10429.9, 12781.1]",0.1341,0.946333,-3.66
MonthlyIncome,"(12781.1, inf]",0.4512,0.946333,-12.32
MonthlyIncome,"(1909.6, 2351.0]",-0.1821,0.946333,4.97
MonthlyIncome,"(2351.0, 2692.0]",-0.6154,0.946333,16.8
MonthlyIncome,"(2692.0, 3025.6]",-0.1535,0.946333,4.19
MonthlyIncome,"(3025.6, 3349.0]",0.0327,0.946333,-0.89
MonthlyIncome,"(3349.0, 3703.0]",0.3793,0.946333,-10.36
MonthlyIncome,"(3703.0, 4048.0]",0.2215,0.946333,-6.05
MonthlyIncome,"(4048.0, 4406.8]",-0.0554,0.946333,1.51
MonthlyIncome,"(4406.8, 4810.0]",0.3719,0.946333,-10.15
MonthlyIncome,"(4810.0, 4882.0]",-0.2411,0.946333,6.58
MonthlyIncome,"(4882.0, 5195.0]",-0.4962,0.946333,13.55
MonthlyIncome,"(5195.0, 5670.35]",-0.4334,0.946333,11.83
MonthlyIncome,"(5670.35, 6218.3]",-0.0626,0.946333,1.71
